"見出し語彙素
Lexeme","標準的（新聞）表記
Standard (Newspaper) Orthography","標準的読み方（カタカナ）
Standard Reading (Katakana)","品詞
Part of Speech","
語種
Word Origin Type"
中,中,チュウ,名詞-普通名詞-副詞可能,漢
自分,自分,ジブン,名詞-普通名詞-一般,漢
時間,時間,ジカン,名詞-普通名詞-副詞可能,漢
万,万,マン,名詞-普通名詞-副詞可能,漢
本当,本当,ホントウ,名詞-普通名詞-一般,漢
電話,電話,デンワ,名詞-普通名詞-サ変可能,漢
意味,意味,イミ,名詞-普通名詞-サ変可能,漢
質問,質問,シツモン,名詞-普通名詞-サ変可能,漢
問題,問題,モンダイ,名詞-普通名詞-一般,漢
会社,会社,カイシャ,名詞-普通名詞-一般,漢
一緒,一緒,イッショ,名詞-普通名詞-サ変可能,漢
先生,先生,センセイ,名詞-普通名詞-一般,漢
結婚,結婚,ケッコン,名詞-普通名詞-サ変可能,漢
学校,学校,ガッコウ,名詞-普通名詞-一般,漢
テレビ,テレビ,テレビ,名詞-普通名詞-一般,外
大学,大学,ダイガク,名詞-普通名詞-一般,漢
毎日,毎日,マイニチ,名詞-普通名詞-副詞可能,漢
病院,病院,ビョウイン,名詞-普通名詞-一般,漢
写真,写真,シャシン,名詞-普通名詞-一般,漢
家族,家族,カゾク,名詞-普通名詞-一般,漢
ホテル,ホテル,ホテル,名詞-普通名詞-一般,外
駅,駅,エキ,名詞-普通名詞-一般,漢
全部,全部,ゼンブ,名詞-普通名詞-副詞可能,漢
語,語,ゴ,名詞-普通名詞-一般,漢
半,半,ハン,名詞-普通名詞-一般,漢
勉強,勉強,ベンキョウ,名詞-普通名詞-サ変可能,漢
旅行,旅行,リョコウ,名詞-普通名詞-サ変可能,漢
料理,料理,リョウリ,名詞-普通名詞-サ変可能,漢
台,台,ダイ,名詞-普通名詞-一般,漢
ドア,ドア,ドア,名詞-普通名詞-一般,外
新聞,新聞,シンブン,名詞-普通名詞-一般,漢
映画,映画,エイガ,名詞-普通名詞-一般,漢
番号,番号,バンゴウ,名詞-普通名詞-一般,漢
服,服,フク,名詞-普通名詞-一般,漢
両親,両親,リョウシン,名詞-普通名詞-一般,漢
英語,英語,エイゴ,名詞-普通名詞-一般,漢
タバコ,たばこ,タバコ,名詞-普通名詞-一般,外
病気,病気,ビョウキ,名詞-普通名詞-サ変可能,漢
元気,元気,ゲンキ,名詞-普通名詞-形状詞可能,漢
半分,半分,ハンブン,名詞-普通名詞-副詞可能,漢
バス鱻bus,バス,バス,名詞-普通名詞-一般,外
学生,学生,ガクセイ,名詞-普通名詞-一般,漢
銀行,銀行,ギンコウ,名詞-普通名詞-一般,漢
家庭,家庭,カテイ,名詞-普通名詞-一般,漢
椅子,椅子,イス,名詞-普通名詞-一般,漢
テーブル,テーブル,テーブル,名詞-普通名詞-一般,外
電車,電車,デンシャ,名詞-普通名詞-一般,漢
医者,医者,イシャ,名詞-普通名詞-一般,漢
ベッド,ベッド,ベッド,名詞-普通名詞-一般,外
コーヒー,コーヒー,コーヒー,名詞-普通名詞-一般,外
午後,午後,ゴゴ,名詞-普通名詞-副詞可能,漢
御免,ごめん,ゴメン,名詞-普通名詞-一般,漢
パン鱻pao,パン,パン,名詞-普通名詞-一般,外
外国,外国,ガイコク,名詞-普通名詞-一般,漢
雑誌,雑誌,ザッシ,名詞-普通名詞-一般,漢
辺,辺,ヘン,名詞-普通名詞-一般,漢
玄関,玄関,ゲンカン,名詞-普通名詞-一般,漢
音楽,音楽,オンガク,名詞-普通名詞-一般,漢
兄弟,兄弟,キョウダイ,名詞-普通名詞-一般,漢
動物,動物,ドウブツ,名詞-普通名詞-一般,漢
ボール鱻ball,ボール,ボール,名詞-普通名詞-一般,外
トイレ,トイレ,トイレ,名詞-普通名詞-一般,外
肉,肉,ニク,名詞-普通名詞-一般,漢
掃除,掃除,ソウジ,名詞-普通名詞-サ変可能,漢
電気,電気,デンキ,名詞-普通名詞-一般,漢
御飯,ご飯,ゴハン,名詞-普通名詞-一般,漢
階段,階段,カイダン,名詞-普通名詞-一般,漢
午前,午前,ゴゼン,名詞-普通名詞-副詞可能,漢
荷物,荷物,ニモツ,名詞-普通名詞-一般,混
洗濯,洗濯,センタク,名詞-普通名詞-サ変可能,漢
コピー,コピー,コピー,名詞-普通名詞-サ変可能,外
時計,時計,トケイ,名詞-普通名詞-一般,漢
ニュース,ニュース,ニュース,名詞-普通名詞-一般,外
公園,公園,コウエン,名詞-普通名詞-一般,漢
