表記,読み
中,チュウ
自分,ジブン
時間,ジカン
万,マン
本当,ホントウ
電話,デンワ
意味,イミ
質問,シツモン
問題,モンダイ
会社,カイシャ
一緒,イッショ
先生,センセイ
結婚,ケッコン
学校,ガッコウ
テレビ,テレビ
大学,ダイガク
毎日,マイニチ
病院,ビョウイン
写真,シャシン
家族,カゾク
ホテル,ホテル
駅,エキ
全部,ゼンブ
語,ゴ
半,ハン
勉強,ベンキョウ
旅行,リョコウ
料理,リョウリ
台,ダイ
ドア,ドア
新聞,シンブン
映画,エイガ
番号,バンゴウ
服,フク
両親,リョウシン
英語,エイゴ
たばこ,タバコ
病気,ビョウキ
元気,ゲンキ
半分,ハンブン
バス,バス
学生,ガクセイ
銀行,ギンコウ
家庭,カテイ
椅子,イス
テーブル,テーブル
電車,デンシャ
医者,イシャ
ベッド,ベッド
コーヒー,コーヒー
午後,ゴゴ
ごめん,ゴメン
パン,パン
外国,ガイコク
雑誌,ザッシ
辺,ヘン
玄関,ゲンカン
音楽,オンガク
兄弟,キョウダイ
動物,ドウブツ
ボール,ボール
トイレ,トイレ
肉,ニク
掃除,ソウジ
電気,デンキ
ご飯,ゴハン
階段,カイダン
午前,ゴゼン
荷物,ニモツ
洗濯,センタク
コピー,コピー
時計,トケイ
ニュース,ニュース
公園,コウエン
便利,ベンリ
門,モン
文章,ブンショウ
アパート,アパート
ノート,ノート
カメラ,カメラ
菓子,カシ
シャツ,シャツ
タクシー,タクシー
廊下,ロウカ
練習,レンシュウ
クラス,クラス
晩,バン
スポーツ,スポーツ
日曜,ニチヨウ
テープ,テープ
ポケット,ポケット
去年,キョネン
ラジオ,ラジオ
教室,キョウシツ
角,カク
散歩,サンポ
おおぜい,オオゼイ
ペット,ペット
地図,チズ
土曜,ドヨウ
毎年,マイトシ
野菜,ヤサイ
洋服,ヨウフク
レストラン,レストラン
生徒,セイト
台所,ダイドコロ
毎月,マイツキ
ペン,ペン
コート,コート
ボタン,ボタン
カレー,カレー
弁当,ベントウ
天気,テンキ
パーティー,パーティー
来年,ライネン
漢字,カンジ
カップ,カップ
封筒,フウトウ
財布,サイフ
テスト,テスト
帽子,ボウシ
ズボン,ズボン
喫茶,キッサ
スカート,スカート
牛乳,ギュウニュウ
ナイフ,ナイフ
砂糖,サトウ
授業,ジュギョウ
しょうゆ,ショウユ
コップ,コップ
デパート,デパート
シャワー,シャワー
警官,ケイカン
月曜,ゲツヨウ
カバン,カバン
食堂,ショクドウ
プール,プール
ポスト,ポスト
エレベーター,エレベーター
フィルム,フィルム
せっけん,セッケン
茶色,チャイロ
金曜,キンヨウ
ギター,ギター
切符,キップ
ネクタイ,ネクタイ
今月,コンゲツ
辞書,ジショ
ハンカチ,ハンカチ
毎晩,マイバン
茶碗,チャワン
毎朝,マイアサ
毎週,マイシュウ
バター,バター
セーター,セーター
来週,ライシュウ
マッチ,マッチ
レコード,レコード
今晩,コンバン
宿題,シュクダイ
先週,センシュウ
夕飯,ユウハン
フォーク,フォーク
紅茶,コウチャ
来月,ライゲツ
鉛筆,エンピツ
水曜,スイヨウ
火曜,カヨウ
先月,センゲツ
スリッパ,スリッパ
今週,コンシュウ
ストーブ,ストーブ
スプーン,スプーン
